Sr.No.	Hex Code	Command to LCD instruction Register
1	01		Clear display screen
2	02		Return home
3	04		Decrement cursor (shift cursor to left)
4	06		Increment cursor (shift cursor to right)
5	05		Shift display right
6	07		Shift display left
7	08		Display off, cursor off
8	0A		Display off, cursor on
9	0C		Display on, cursor off
10	0E		Display on, cursor blinking
11	0F		Display on, cursor blinking
12	10		Shift cursor position to left
13	14		Shift cursor position to right
14	18		Shift the entire display to the left
15	1C		Shift the entire display to the right
16	80		Force cursor to beginning ( 1st line)
17	C0		Force cursor to beginning ( 2nd line)
18	38		2 lines and 5×7 matrix
